MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 1
Total size of files: 838831.00 bytes
Single split size: 209707.000000 bytes


Global Histogram

Word: threearmed               - Count: 1
Word: alembic                  - Count: 1
Word: Mary                     - Count: 1
Word: Jew                      - Count: 4
Word: items                    - Count: 5
Word: samples                  - Count: 1
Word: seven                    - Count: 20
Word: metals                   - Count: 6
Word: corresponded             - Count: 3
Word: planets                  - Count: 1
Word: formulas                 - Count: 2
Word: Moses                    - Count: 1
Word: Zosimus                  - Count: 1
Word: doubling                 - Count: 2
Word: quantity                 - Count: 2
Word: notes                    - Count: 9
Word: concerning               - Count: 4
Word: processes                - Count: 2
Word: Teaching                 - Count: 3
Word: permit                   - Count: 5
Word: interpret                - Count: 3
Word: manufacture              - Count: 5
Word: stone                    - Count: 15
Word: Seduced                  - Count: 3
Word: simplicity               - Count: 3
Word: double                   - Count: 2
Word: court                    - Count: 7
Word: weeks                    - Count: 38
Word: dig                      - Count: 8
Word: times                    - Count: 98
Word: subdivide                - Count: 1
Word: husbands                 - Count: 12
Word: unyielding               - Count: 1
Word: obstinacy                - Count: 4
Word: threw                    - Count: 22
Word: pan                      - Count: 6
Word: fused                    - Count: 2
Word: filings                  - Count: 1
Word: orpiment                 - Count: 1
Word: brimstone                - Count: 1
Word: lead                     - Count: 9
Word: boil                     - Count: 7
Word: pot                      - Count: 16
Word: castor                   - Count: 3
Word: oil                      - Count: 10
Word: thick                    - Count: 13
Word: pestilential             - Count: 6
Word: syrup                    - Count: 6
Word: common                   - Count: 16
Word: caramel                  - Count: 1
Word: valuable                 - Count: 1
Word: risky                    - Count: 1
Word: desperate                - Count: 10
Word: distillation             - Count: 1
Word: planetary                - Count: 2
Word: mixed                    - Count: 9
Word: hermetic                 - Count: 3
Word: vitriol                  - Count: 1
Word: Cypms                    - Count: 1
Word: 10                       - Count: 2
Word: cook                     - Count: 2
Word: hog                      - Count: 3
Word: fat                      - Count: 10
Word: lack                     - Count: 13
Word: radish                   - Count: 2
Word: Ursulas                  - Count: 53
Word: precious                 - Count: 1
Word: inheritance              - Count: 6
Word: reduced                  - Count: 14
Word: piece                    - Count: 24
Word: burnt                    - Count: 1
Word: cracklings               - Count: 1
Word: firmly                   - Count: 3
Word: stuck                    - Count: 10
Word: bottom                   - Count: 14
Word: came                     - Count: 125
Word: population               - Count: 3
Word: curiosity                - Count: 25
Word: greater                  - Count: 8
Word: fear                     - Count: 35
Word: about                    - Count: 322
Word: town                     - Count: 119
Word: making                   - Count: 36
Word: deafening                - Count: 4
Word: noise                    - Count: 19
Word: manner                   - Count: 13
Word: musical                  - Count: 8
